player_name,season,height_inches,weight,forty,bench,vertical,broad_jump,cone,shuttle,bmi,size_score,speed_score,burst_score,agility_score,pos,pos_group,conf_tier,is_skill,is_blue_blood,is_sec,age_at_draft,era,draft_ovr,draft_round,is_first_round,is_drafted
Demario Brown,2000,72.0,217.0,4.72,,31.0,107.0,7.17,4.39,29.427276234567902,15624.0,87.44233274060254,39.916666666666664,11.559999999999999,RB,Skill,FCS/Other,1,0,0,,2000-2005,,8,0,0
Courtney Brown,2000,77.0,269.0,4.78,,,,,,31.895260583572274,20713.0,103.05538479171875,,,DE,Edge,Power Five,0,1,0,22.0,2000-2005,1.0,1,1,1
Mike Brown,2000,70.0,204.0,4.59,14.0,36.0,116.0,6.93,4.01,29.267755102040816,14280.0,91.91987412133952,45.666666666666664,10.94,S,DB,Power Five,0,1,0,22.0,2000-2005,39.0,2,0,1
Ralph Brown,2000,70.0,185.0,4.55,10.0,,,,,26.541836734693877,12950.0,86.32888613673438,,,CB,DB,Power Five,0,1,0,21.0,2000-2005,140.0,5,0,1
Travis Brown,2000,75.0,218.0,5.01,,29.0,101.0,7.54,4.87,27.245155555555556,16350.0,69.20469927734098,37.416666666666664,12.41,QB,QB,FCS/Other,1,0,0,,2000-2005,,8,0,0
Lamont Bryant,2000,75.0,260.0,4.91,17.0,,,,,32.49422222222222,19500.0,89.46998718595924,,,DE,Edge,Power Five,0,1,0,,2000-2005,,8,0,0
Marc Bulger,2000,74.0,208.0,4.97,,,100.0,7.46,4.34,26.702702702702705,15392.0,68.18169218760868,,11.8,QB,QB,Power Five,1,0,0,23.0,2000-2005,168.0,6,0,1
Keith Bulluck,2000,75.0,244.0,4.47,,38.0,119.0,7.33,4.13,30.494577777777778,18300.0,122.23335422669814,47.916666666666664,11.46,OLB,Edge,Power Five,0,0,0,23.0,2000-2005,30.0,1,1,1
Bill Burke,2000,76.0,206.0,5.03,,28.5,107.0,7.46,4.42,25.07236842105263,15656.0,64.36136938728207,37.416666666666664,11.879999999999999,QB,QB,Power Five,1,0,0,,2000-2005,,8,0,0
Plaxico Burress,2000,77.0,231.0,4.59,,33.0,115.0,,,27.38961038961039,17787.0,104.08573981386975,42.583333333333336,,WR,Skill,Power Five,1,0,0,23.0,2000-2005,8.0,1,1,1
David Byrd,2000,71.0,202.0,4.53,14.0,36.0,117.0,7.18,4.39,28.170204324538783,14342.0,95.93753532303836,45.75,11.57,CB,DB,Power Five,0,0,0,,2000-2005,,8,0,0
Trung Canidate,2000,71.0,193.0,4.41,18.0,,,,,26.91509621106923,13703.0,102.05468505588799,,,RB,Skill,Power Five,1,0,0,23.0,2000-2005,31.0,1,1,1
Cooper Carlisle,2000,77.0,297.0,5.16,28.0,31.0,100.0,7.82,4.48,35.2152133580705,22869.0,83.78912178080364,39.333333333333336,12.3,OG,OL,Power Five,0,1,1,23.0,2000-2005,112.0,4,0,1
Giovanni Carmazzi,2000,75.0,224.0,4.74,,36.5,119.0,6.94,4.23,27.995022222222225,16800.0,88.74924094398646,46.416666666666664,11.170000000000002,QB,QB,FCS/Other,1,0,0,,2000-2005,65.0,3,0,1
Leonardo Carson,2000,73.0,283.0,5.06,22.0,28.0,106.0,7.82,4.75,37.33327078251079,20659.0,86.34046113164041,36.833333333333336,12.57,DE,Edge,Power Five,0,0,1,23.0,2000-2005,113.0,4,0,1
Tyrone Carter,2000,68.0,190.0,4.5,16.0,41.0,121.0,6.75,4.19,28.886245674740483,12920.0,92.66880048773052,51.083333333333336,10.940000000000001,S,DB,Power Five,0,0,0,24.0,2000-2005,118.0,4,0,1
Kwame Cavil,2000,74.0,208.0,4.54,,39.5,118.0,,,26.702702702702705,15392.0,97.91966504291771,49.333333333333336,,WR,Skill,Power Five,1,1,0,,2000-2005,,8,0,0
Chris Chaloupka,2000,74.0,216.0,4.96,,,,,,27.72972972972973,15984.0,71.37679462621858,,,QB,QB,Group of Five,1,0,0,,2000-2005,,8,0,0
Doug Chapman,2000,70.0,215.0,4.56,16.0,38.5,128.0,6.84,4.2,30.845918367346936,15050.0,99.45098408952408,49.166666666666664,11.04,RB,Skill,Group of Five,1,0,0,23.0,2000-2005,88.0,3,0,1
Ike Charlton,2000,71.0,205.0,4.47,16.0,,126.0,,,28.5885736956953,14555.0,102.6960558052177,,,CB,DB,Power Five,0,0,0,22.0,2000-2005,52.0,2,0,1
Chrys Chukwuma,2000,73.0,232.0,4.56,,,115.0,,,30.605366860574215,16936.0,107.31455027334692,,,RB,Skill,Power Five,1,0,1,,2000-2005,,8,0,0
Joey Chustz,2000,79.0,304.0,5.08,28.0,31.0,103.0,7.65,4.65,34.243230251562245,24016.0,91.29536518109553,39.583333333333336,12.3,OT,OL,Group of Five,0,0,0,,2000-2005,123.0,4,0,1
Pedro Cirino,2000,71.0,197.0,4.59,,,,,,27.47292203927792,13987.0,88.76576079364649,,,S,DB,FCS/Other,0,0,0,,2000-2005,,8,0,0
John Saint Clair,2000,77.0,302.0,5.2,25.0,,,,,35.808062067802325,23254.0,82.60827702111268,,,C,OL,Power Five,0,0,0,,2000-2005,,8,0,0
Kendrick Clancy,2000,73.0,283.0,5.25,25.0,27.5,108.0,7.98,4.65,37.33327078251079,20659.0,74.50393611715283,36.5,12.63,DT,DL,FCS/Other,0,0,0,21.0,2000-2005,72.0,3,0,1
Travis Claridge,2000,77.0,303.0,5.15,29.0,31.5,100.0,7.77,4.86,35.92663180974869,23331.0,86.14770416590518,39.833333333333336,12.629999999999999,OG,OL,Power Five,0,1,0,22.0,2000-2005,37.0,2,0,1
Danny Clark,2000,74.0,245.0,4.75,20.0,,,,,31.452702702702705,18130.0,96.25463279133831,,,ILB,LB,Power Five,0,0,0,23.0,2000-2005,245.0,7,0,1
Chad Clifton,2000,77.0,334.0,5.05,24.0,30.5,102.0,7.58,4.73,39.60229381008602,25718.0,102.70957921832343,39.0,12.31,OT,OL,Power Five,0,1,1,24.0,2000-2005,44.0,2,0,1
Chris Cole,2000,72.0,191.0,4.37,,37.5,125.0,6.76,4.09,25.9014274691358,13752.0,104.74604045805101,47.916666666666664,10.85,WR,Skill,Power Five,1,0,1,22.0,2000-2005,70.0,3,0,1
Chris Coleman,2000,72.0,211.0,4.61,,32.5,110.0,6.79,4.1,28.613618827160494,15192.0,93.43481916753878,41.666666666666664,10.89,WR,Skill,FCS/Other,1,0,0,,2000-2005,,8,0,0
Cosey Coleman,2000,76.0,322.0,5.4,,28.0,101.0,8.15,4.97,39.19078947368421,24472.0,75.73747603214653,36.416666666666664,13.120000000000001,OG,OL,Power Five,0,1,1,21.0,2000-2005,51.0,2,0,1
